"unique_id","indicator_id","name","measure","measure_info","geo_type_name","geo_join_id","geo_place_name","time_period","start_date","data_value","message"
"131046","653","Asthma emergency departments visits due to Ozone","Estimated annual rate (under age 18)","per 100,000 children","UHF42","302","Central Harlem - Morningside Heights","2005-2007","2005-01-01T00:00:00.000","292.5",
"154559","644","Annual vehicle miles traveled (cars)","Million miles","per square mile","CD","503","Tottenville and Great Kills (CD3)","2005","2005-01-01T00:00:00.000","12.2",
"131050","653","Asthma emergency departments visits due to Ozone","Estimated annual rate (under age 18)","per 100,000 children","UHF42","306","Chelsea - Clinton","2005-2007","2005-01-01T00:00:00.000","97.8",
"130823","648","Asthma emergency department visits due to PM2.5","Estimated annual rate (under age 18)","per 100,000 children","UHF42","409","Southeast Queens","2005-2007","2005-01-01T00:00:00.000","73.8",
"131249","657","Asthma emergency department visits due to PM2.5","Estimated annual rate (age 18+)","per 100,000 adults","UHF42","403","Flushing - Clearview","2005-2007","2005-01-01T00:00:00.000","13.3",
"131146","655","Asthma hospitalizations due to Ozone","Estimated annual rate (under age 18)","per 100,000 children","UHF42","306","Chelsea - Clinton","2005-2007","2005-01-01T00:00:00.000","19.0",
"154564","643","Annual vehicle miles traveled","Million miles","per square mile","CD","105","Midtown (CD5)","2005","2005-01-01T00:00:00.000","138.1",
"151651","643","Annual vehicle miles traveled","Million miles","per square mile","UHF42","401","Long Island City - Astoria","2005","2005-01-01T00:00:00.000","43.7",
"131124","655","Asthma hospitalizations due to Ozone","Estimated annual rate (under age 18)","per 100,000 children","UHF42","102","Northeast Bronx","2005-2007","2005-01-01T00:00:00.000","28.1",
"154575","643","Annual vehicle miles traveled","Million miles","per square mile","CD","204","Highbridge and Concourse (CD4)","2005","2005-01-01T00:00:00.000","93.9",
"151696","644","Annual vehicle miles traveled (cars)","Million miles","per square mile","UHF42","308","Greenwich Village - SoHo","2005","2005-01-01T00:00:00.000","121.3",
"130699","646","Outdoor Air Toxics - Benzene","Annual average concentration","Âµg/m3","UHF42","208","Canarsie - Flatlands","2005","2005-01-01T00:00:00.000","2.4",
"151715","644","Annual vehicle miles traveled (cars)","Million miles","per square mile","Borough","2","Brooklyn","2005","2005-01-01T00:00:00.000","52.8",
"131234","657","Asthma emergency department visits due to PM2.5","Estimated annual rate (age 18+)","per 100,000 adults","UHF42","209","Bensonhurst - Bay Ridge","2005-2007","2005-01-01T00:00:00.000","14.8",
"131224","657","Asthma emergency department visits due to PM2.5","Estimated annual rate (age 18+)","per 100,000 adults","UHF42","106","High Bridge - Morrisania","2005-2007","2005-01-01T00:00:00.000","193.7",
"130791","648","Asthma emergency department visits due to PM2.5","Estimated annual rate (under age 18)","per 100,000 children","UHF42","105","Crotona -Tremont","2005-2007","2005-01-01T00:00:00.000","257.1",
"131028","653","Asthma emergency departments visits due to Ozone","Estimated annual rate (under age 18)","per 100,000 children","UHF42","102","Northeast Bronx","2005-2007","2005-01-01T00:00:00.000","114.5",
"130901","650","Respiratory hospitalizations due to PM2.5 (age 20+)","Estimated annual rate","per 100,000 adults","UHF42","301","Washington Heights","2005-2007","2005-01-01T00:00:00.000","20.6",
"151744","645","Annual vehicle miles traveled (trucks)","Million miles","per square mile","UHF42","308","Greenwich Village - SoHo","2005","2005-01-01T00:00:00.000","10.5",
"130921","650","Respiratory hospitalizations due to PM2.5 (age 20+)","Estimated annual rate","per 100,000 adults","UHF42","501","Port Richmond","2005-2007","2005-01-01T00:00:00.000","18.5",
"130751","647","Outdoor Air Toxics - Formaldehyde","Annual average concentration","Âµg/m3","UHF42","301","Washington Heights","2005","2005-01-01T00:00:00.000","3.9",
"151762","645","Annual vehicle miles traveled (trucks)","Million miles","per square mile","Borough","1","Bronx","2005","2005-01-01T00:00:00.000","3.5",
"131134","655","Asthma hospitalizations due to Ozone","Estimated annual rate (under age 18)","per 100,000 children","UHF42","205","Sunset Park","2005-2007","2005-01-01T00:00:00.000","8.8",
"131127","655","Asthma hospitalizations due to Ozone","Estimated annual rate (under age 18)","per 100,000 children","UHF42","105","Crotona -Tremont","2005-2007","2005-01-01T00:00:00.000","36.0",
